"","playerID","yearID","stint","teamID","lgID","POS","G","GS","InnOuts","PO","A","E","DP","PB","WP","SB","CS","ZR"
"453","mitchfr01",1901,1,"BOS","AL","2B",2,0,0,0,1,1,0,0,0,0,0,0
"454","mitchfr01",1901,1,"BOS","AL","P",17,0,0,2,33,5,2,0,0,0,0,0
"455","mitchfr01",1901,1,"BOS","AL","SS",1,0,0,0,0,0,0,0,0,0,0,0
"456","mooreea01",1901,1,"CLE","AL","P",31,0,0,9,45,7,2,0,0,0,0,0
"457","moranpa01",1901,1,"BSN","NL","1B",13,0,0,133,5,6,4,0,0,0,0,0
"458","moranpa01",1901,1,"BSN","NL","2B",1,0,0,1,4,0,0,0,0,0,0,0
"459","moranpa01",1901,1,"BSN","NL","3B",4,0,0,1,3,2,0,0,0,0,0,0
"460","moranpa01",1901,1,"BSN","NL","C",28,0,0,159,20,5,4,4,0,0,0,0
"461","moranpa01",1901,1,"BSN","NL","OF",3,0,0,4,0,0,0,0,0,0,0,0
"462","moranpa01",1901,1,"BSN","NL","SS",3,0,0,1,5,1,0,0,0,0,0,0
"463","morrifr01",1901,1,"BOS","AL","P",1,0,0,0,2,0,0,0,0,0,0,0
"464","murphda02",1901,1,"NY1","NL","2B",5,0,0,6,11,2,0,0,0,0,0,0
"465","murphed01",1901,1,"SLN","NL","P",23,0,0,7,52,1,1,0,0,0,0,0
"466","murphfr01",1901,1,"BSN","NL","OF",45,0,0,97,10,7,1,0,0,0,0,0
"467","murphfr01",1901,2,"NY1","NL","2B",23,0,0,38,62,18,3,0,0,0,0,0
"468","murphfr01",1901,2,"NY1","NL","OF",12,0,0,17,1,1,0,0,0,0,0,0
"469","murphmo01",1901,1,"PHA","AL","1B",1,0,0,7,0,2,0,0,0,0,0,0
"470","murphmo01",1901,1,"PHA","AL","C",8,0,0,32,7,3,1,2,0,0,0,0
"471","nancedo01",1901,1,"DET","AL","OF",132,0,0,240,20,19,6,0,0,0,0,0
"472","nelsora01",1901,1,"NY1","NL","2B",39,0,0,44,125,22,10,0,0,0,0,0
"473","newtodo01",1901,1,"CIN","NL","P",20,0,0,8,52,13,1,0,0,0,0,0
"474","newtodo01",1901,2,"BRO","NL","P",13,0,0,6,26,5,2,0,0,0,0,0
"475","nichoar01",1901,1,"SLN","NL","C",47,0,0,187,51,10,5,10,0,0,0,0
"476","nichoar01",1901,1,"SLN","NL","OF",40,0,0,69,9,3,4,0,0,0,0,0
"477","nichoki01",1901,1,"BSN","NL","1B",5,0,0,31,2,4,3,0,0,0,0,0
"478","nichoki01",1901,1,"BSN","NL","OF",7,0,0,15,1,2,0,0,0,0,0,0
"479","nichoki01",1901,1,"BSN","NL","P",38,0,0,27,69,4,1,0,0,0,0,0
"480","nopsje01",1901,1,"BLA","AL","P",27,0,0,2,34,10,0,0,0,0,0,0
"481","obrieja02",1901,1,"WS1","AL","OF",11,0,0,26,0,2,0,0,0,0,0,0
"482","obrieja02",1901,2,"CLE","AL","3B",1,0,0,1,2,0,0,0,0,0,0,0
"483","obrieja02",1901,2,"CLE","AL","OF",92,0,0,150,9,10,4,0,0,0,0,0
"484","obriepe02",1901,1,"CIN","NL","2B",15,0,0,35,37,9,6,0,0,0,0,0
"485","oconnja01",1901,1,"PIT","NL","C",59,0,0,256,59,7,5,11,0,0,0,0
