Name,Team,Fastball,Two-seam FB,Cutter,Splitter,Sinker,Slider,Cureveball,Knuckle Curve,Changeup,URL
Zach McAllister,Indians,94.5,94.8,89.3, , ,83.1,80.2, ,85.5,https://www.baseballprospectus.com/card/card.php?id=50118
Vincent Velasquez,Astros,94.4,88.8, , , ,83.8,81.8, ,86.4,https://www.baseballprospectus.com/card/card.php?id=67143
Carlos Carrasco,Indians,94.4,94.1, , , ,87.5,82.7, ,88.1,https://www.baseballprospectus.com/card/card.php?id=47229
Alexi Ogando,Red Sox,94.3,94.2,91.3, , ,86.4, , ,87.3,https://www.baseballprospectus.com/card/card.php?id=49910
Jonathan Broxton,Cardinals,94.3,93.5, , , ,88,76.9, , ,https://www.baseballprospectus.com/card/card.php?id=33197
Scott Oberg,Rockies,94.3,94.5, , , ,83.3,78.1, ,86.9,https://www.baseballprospectus.com/card/card.php?id=101264
Shelby Miller,Braves,94.3,94,86.5, , , ,78.3, ,86.6,https://www.baseballprospectus.com/card/card.php?id=60626
Andrew Miller,Yankees,94.3,94.5, , , ,83.9, , ,90.8,https://www.baseballprospectus.com/card/card.php?id=49617
Taijuan Walker,Mariners,94.2,94.8,89.5,88.8, , ,74.7, , ,https://www.baseballprospectus.com/card/card.php?id=67148
Jeff Samardzija,White Sox,94.2,94.1,92,84.4, ,84.8, , , ,https://www.baseballprospectus.com/card/card.php?id=50175
Liam Hendriks,Blue Jays,94.2,94.2, , , ,86.4,76.6, ,88.1,https://www.baseballprospectus.com/card/card.php?id=56426
Wily Peralta,Brewers,94.2,94.5, ,82.7, ,82.9, , ,83.4,https://www.baseballprospectus.com/card/card.php?id=50538
Michael Lorenzen,Reds,94.1,94.3,87.6, , ,85.7,80.3, ,85,https://www.baseballprospectus.com/card/card.php?id=68444
Jake Arrieta,Cubs,94.1, , , ,94.4,90.2,80.5, ,88.4,https://www.baseballprospectus.com/card/card.php?id=52691
Lance McCullers,Astros,94,93,91.5, , ,84.5,84.2,84.5,88.4,https://www.baseballprospectus.com/card/card.php?id=100521
Rubby de la Rosa,Diamondbacks,94,93.5, , , ,84.5,78.6, ,85.6,https://www.baseballprospectus.com/card/card.php?id=57608
Sam Dyson,Rangers,94,95.2, , , ,89.6,84.5, ,87.5,https://www.baseballprospectus.com/card/card.php?id=68372
Jarred Cosart,Marlins,94, ,93.2, ,93.9, ,79.9,80.2,83.6,https://www.baseballprospectus.com/card/card.php?id=59986
Josh Fields,Astros,94, , , , , , ,78.9,81.1,https://www.baseballprospectus.com/card/card.php?id=59166
James Paxton,Mariners,94,94.8,88.5, , , , ,81.2,85.8,https://www.baseballprospectus.com/card/card.php?id=68467
