"Name","Team","URL","PitchType","Speed"
"Lance McCullers","Astros","https://www.baseballprospectus.com/card/card.php?id=100521","Fastball",94
"Rubby de la Rosa","Diamondbacks","https://www.baseballprospectus.com/card/card.php?id=57608","Fastball",94
"Sam Dyson","Rangers","https://www.baseballprospectus.com/card/card.php?id=68372","Fastball",94
"Jarred Cosart","Marlins","https://www.baseballprospectus.com/card/card.php?id=59986","Fastball",94
"Josh Fields","Astros","https://www.baseballprospectus.com/card/card.php?id=59166","Fastball",94
"James Paxton","Mariners","https://www.baseballprospectus.com/card/card.php?id=68467","Fastball",94
"Craig Kimbrel","Padres","https://www.baseballprospectus.com/card/card.php?id=58350","Two.seam.FB",97.7
"Kelvin Herrera","Royals","https://www.baseballprospectus.com/card/card.php?id=56449","Two.seam.FB",97.6
"Ken Giles","Phillies","https://www.baseballprospectus.com/card/card.php?id=70354","Two.seam.FB",94.8
"Nathan Eovaldi","Yankees","https://www.baseballprospectus.com/card/card.php?id=57820","Two.seam.FB",93.1
"Tommy Hunter","Cubs","https://www.baseballprospectus.com/card/card.php?id=57403","Two.seam.FB",95.9
"Jumbo Diaz","Reds","https://www.baseballprospectus.com/card/card.php?id=34744","Two.seam.FB",96.9
"Noah Syndergaard","Mets","https://www.baseballprospectus.com/card/card.php?id=67132","Two.seam.FB",90.8
"Jeremy Jeffress","Brewers","https://www.baseballprospectus.com/card/card.php?id=50094","Two.seam.FB",95.3
"Daniel Hudson","Diamondbacks","https://www.baseballprospectus.com/card/card.php?id=57996","Two.seam.FB",95.8
"Hector Rondon","Cubs","https://www.baseballprospectus.com/card/card.php?id=52251","Two.seam.FB",95.8
"Hansel Robles","Mets","https://www.baseballprospectus.com/card/card.php?id=66336","Two.seam.FB",93.4
"Joe Kelly","Red Sox","https://www.baseballprospectus.com/card/card.php?id=59351","Two.seam.FB",95.4
"Garrett Richards","Angels","https://www.baseballprospectus.com/card/card.php?id=60655","Two.seam.FB",95.4
"Wade Davis","Royals","https://www.baseballprospectus.com/card/card.php?id=47360","Two.seam.FB",95
"Kevin Gausman","Orioles","https://www.baseballprospectus.com/card/card.php?id=68557","Two.seam.FB",96.3
"Jose Fernandez","Marlins","https://www.baseballprospectus.com/card/card.php?id=70444","Two.seam.FB",93.8
"Gerrit Cole","Pirates","https://www.baseballprospectus.com/card/card.php?id=65957","Two.seam.FB",94.4
"Roberto Osuna","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=68997","Two.seam.FB",95.1
"Luis Garcia","Phillies","https://www.baseballprospectus.com/card/card.php?id=49727","Two.seam.FB",95.4
"Fernando Rodney","Mariners","https://www.baseballprospectus.com/card/card.php?id=1449","Two.seam.FB",94.7
"Jason Motte","Cubs","https://www.baseballprospectus.com/card/card.php?id=48314","Two.seam.FB",93.7
"Matt Harvey","Mets","https://www.baseballprospectus.com/card/card.php?id=68391","Two.seam.FB",95.8
"J.R. Graham","Twins","https://www.baseballprospectus.com/card/card.php?id=70305","Two.seam.FB",93.6
"Stephen Strasburg","Nationals","https://www.baseballprospectus.com/card/card.php?id=61056","Two.seam.FB",95.2
"Justin Wilson","Yankees","https://www.baseballprospectus.com/card/card.php?id=59179","Two.seam.FB",94.8
"Danny Salazar","Indians","https://www.baseballprospectus.com/card/card.php?id=56723","Two.seam.FB",94.1
"Yordano Ventura","Royals","https://www.baseballprospectus.com/card/card.php?id=66326","Two.seam.FB",95.9
"Mark Lowe","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=48157","Two.seam.FB",95.3
"Brandon Maurer","Padres","https://www.baseballprospectus.com/card/card.php?id=58933","Two.seam.FB",90.9
"Andrew Cashner","Padres","https://www.baseballprospectus.com/card/card.php?id=58136","Two.seam.FB",94.6
"Chris Archer","Rays","https://www.baseballprospectus.com/card/card.php?id=50101","Two.seam.FB",95.5
"Pedro Strop","Cubs","https://www.baseballprospectus.com/card/card.php?id=46719","Two.seam.FB",94.9
"Jacob deGrom","Mets","https://www.baseballprospectus.com/card/card.php?id=67740","Two.seam.FB",94.5
"Mike Foltynewicz","Braves","https://www.baseballprospectus.com/card/card.php?id=66991","Two.seam.FB",94.5
"Juan Nicasio","Dodgers","https://www.baseballprospectus.com/card/card.php?id=57000","Two.seam.FB",94.4
"Keone Kela","Rangers","https://www.baseballprospectus.com/card/card.php?id=71016","Two.seam.FB",93.7
"Mike Dunn","Marlins","https://www.baseballprospectus.com/card/card.php?id=47296","Two.seam.FB",94.3
"Kevin Jepsen","Twins","https://www.baseballprospectus.com/card/card.php?id=45544","Two.seam.FB",92.9
"Tom Wilhelmsen","Mariners","https://www.baseballprospectus.com/card/card.php?id=65756","Two.seam.FB",94.8
"Zach McAllister","Indians","https://www.baseballprospectus.com/card/card.php?id=50118","Two.seam.FB",94.8
"Vincent Velasquez","Astros","https://www.baseballprospectus.com/card/card.php?id=67143","Two.seam.FB",88.8
"Carlos Carrasco","Indians","https://www.baseballprospectus.com/card/card.php?id=47229","Two.seam.FB",94.1
