"","yearID","teamID","name","AB","H","2B","3B","HR","R","SB","BA","OBP","OPS","SLG","wOBA"
"289",2010,"COL","Colorado Rockies",5530,1452,270,54,173,770,99,0.2626,0.3356,0.7604,0.4248,0.336189724593332
"290",2010,"FLO","Florida Marlins",5531,1403,294,37,152,719,92,0.2537,0.321,0.7237,0.4026,0.320982256226599
"291",2010,"HOU","Houston Astros",5452,1348,252,25,108,611,100,0.2472,0.3029,0.665,0.3621,0.297009951087873
"292",2010,"LAN","Los Angeles Dodgers",5426,1368,270,29,120,667,92,0.2521,0.3216,0.7005,0.3789,0.312936746490504
"293",2010,"MIL","Milwaukee Brewers",5606,1471,293,33,182,750,81,0.2624,0.3347,0.7585,0.4238,0.336024409700064
"294",2010,"NYN","New York Mets",5465,1361,266,40,128,656,130,0.249,0.3145,0.6971,0.3826,0.31014744645799
"295",2010,"PHI","Philadelphia Phillies",5581,1451,290,34,166,772,108,0.26,0.332,0.7454,0.4134,0.33066992156235
"296",2010,"PIT","Pittsburgh Pirates",5386,1303,276,27,126,587,87,0.2419,0.3041,0.6775,0.3734,0.301936939983094
"297",2010,"SDN","San Diego Padres",5434,1338,236,24,132,665,124,0.2462,0.3174,0.6888,0.3714,0.308540540540541
"298",2010,"SFN","San Francisco Giants",5488,1411,284,30,162,697,55,0.2571,0.3211,0.7295,0.4083,0.323012858555885
"299",2010,"SLN","St. Louis Cardinals",5542,1456,285,18,150,736,79,0.2627,0.3316,0.7334,0.4018,0.326457152114045
"300",2010,"WAS","Washington Nationals",5418,1355,250,31,149,655,110,0.2501,0.3182,0.7084,0.3902,0.315274386197744
"301",2011,"BAL","Baltimore Orioles",5585,1434,273,13,191,708,81,0.2568,0.316,0.7289,0.4129,0.321143020221787
"302",2011,"BOS","Boston Red Sox",5710,1600,352,35,203,875,102,0.2802,0.3488,0.8095,0.4608,0.35429164057608
"303",2011,"CHA","Chicago White Sox",5502,1387,252,16,154,654,81,0.2521,0.3187,0.7063,0.3877,0.313827411167513
"304",2011,"CLE","Cleveland Indians",5509,1380,290,26,154,704,89,0.2505,0.3173,0.7137,0.3964,0.316045819014891
"305",2011,"DET","Detroit Tigers",5563,1540,297,34,169,787,49,0.2768,0.3398,0.7733,0.4336,0.339748584371461
"306",2011,"KCA","Kansas City Royals",5672,1560,325,41,129,730,153,0.275,0.3287,0.7437,0.415,0.327022061191626
"307",2011,"LAA","Los Angeles Angels of Anaheim",5513,1394,289,34,155,667,135,0.2529,0.3125,0.7145,0.402,0.315360715468698
"308",2011,"MIN","Minnesota Twins",5487,1357,259,25,103,619,92,0.2473,0.3062,0.6662,0.3599,0.297142260811488
"309",2011,"NYA","New York Yankees",5518,1452,267,33,222,867,147,0.2631,0.3434,0.7876,0.4442,0.346396650717703
"310",2011,"OAK","Oakland Athletics",5452,1330,280,29,114,645,117,0.2439,0.3113,0.68,0.3687,0.302719017798286
"311",2011,"SEA","Seattle Mariners",5421,1263,253,22,109,556,125,0.233,0.2924,0.6405,0.3481,0.285673744523087
"312",2011,"TBA","Tampa Bay Rays",5436,1324,273,37,172,707,155,0.2436,0.3218,0.7241,0.4023,0.321138348323794
"313",2011,"TEX","Texas Rangers",5659,1599,310,32,210,855,143,0.2826,0.3396,0.7996,0.46,0.349261652201864
"314",2011,"TOR","Toronto Blue Jays",5559,1384,285,34,186,743,131,0.249,0.3167,0.7296,0.4128,0.321448130765496
